ELSI Export,,,,
,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,
,,,,
This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC,,,,
,,,,
Agency Name,State Name [District] Latest available year,Agency Name [District] 2021-22,County Number [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year
ALABAMA YOUTH SERVICES,Alabama,Alabama Youth Services,01101,0100002
ALABASTER CITY,Alabama,Alabaster City,01117,0100190
ALACHUA,Florida,ALACHUA,12001,1200030
ALAIN LEROY LOCKE COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,Alain Leroy Locke College Preparatory Academy District,06037,0602092
ALAMANCE COMMUNITY SCHOOL,NORTH CAROLINA,Alamance Community School,37001,3700467
ALAMANCE-BURLINGTON SCHOOLS,North Carolina,Alamance-Burlington Schools,37001,3700030
ALAMEDA CNTY. STUDENT EXCHANGE PROG.,California,Alameda Cnty. Student Exchange Prog.,06001,0601355
ALAMEDA COMMUNITY LEARNING CENTER DISTRICT,CALIFORNIA,Alameda Community Learning Center District,06001,0601664
ALAMEDA COUNTY OFFICE OF EDUCATION,California,Alameda County Office of Education,06001,0691051
ALAMEDA UNIFIED,California,Alameda Unified,06001,0601770
ALAMO,Tennessee,Alamo,47033,4700030
ALAMO HEIGHTS ISD,Texas,ALAMO HEIGHTS ISD,48029,4807590
ALAMOGORDO,New Mexico,ALAMOGORDO PUBLIC SCHOOLS,35035,3500030
ALAMOSA SCHOOL DISTRICT NO. RE-11J,Colorado,Alamosa School District No. Re-11J,08003,0802070
ALANSON PUBLIC SCHOOLS,Michigan,Alanson Public Schools,26047,2621810
ALASKA GATEWAY SCHOOL DISTRICT,Alaska,Alaska Gateway School District,02240,0200050
ALBA PUBLIC SCHOOLS,Michigan,Alba Public Schools,26009,2602040
ALBA-GOLDEN ISD,Texas,ALBA-GOLDEN ISD,48499,4807650
ALBANY CITY SCHOOL DISTRICT,New York,ALBANY CITY SCHOOL DISTRICT,36001,3602460
ALBANY CITY UNIFIED,California,Albany City Unified,06001,0601860
ALBANY COUNTY SCHOOL DISTRICT #1,Wyoming,Albany County School District #1,56001,5600730
