ELSI Export,,,,
,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,
,,,,
This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC,,,,
,,,,
Agency Name,State Name [District] Latest available year,Agency Name [District] 2021-22,County Number [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year
IMAGINE PREP COOLIDGE INC. (90034),Arizona,Imagine Prep Coolidge Inc. (90034),04021,0400769
IMAGINE PREP SUPERSTITION INC. (89788),Arizona,Imagine Prep Superstition Inc. (89788),04021,0400783
IMAGINE PREP SURPRISE INC. (89790),Arizona,Imagine Prep Surprise Inc. (89790),04013,0400770
IMAGINE SCHOOLS RIVERSIDE COUNTY DISTRICT,CALIFORNIA,Imagine Schools Riverside County District,06065,0602372
IMAGINE SUPERSTITION MIDDLE INC. (90160),Arizona,Imagine Superstition Middle Inc. (90160),04021,0400810
IMBLER SD 11,Oregon,Imbler SD 11,41061,4106630
IMBODEN CHARTER SCHOOL DISTRICT,Arkansas,IMBODEN CHARTER SCHOOL DISTRICT,05075,0500061
IMHOTEP INSTITUTE CHS,Pennsylvania,Imhotep Institute CHS,42101,4200038
IMLAY CITY COMMUNITY SCHOOLS,Michigan,Imlay City Community Schools,26087,2619100
IMPACT | COMMENCEMENT BAY ELEMENTARY,WASHINGTON,Impact Commencement Bay Elementary,53053,5300354
IMPACT | PUGET SOUND ELEMENTARY,WASHINGTON,Impact Puget Sound Elementary,53033,5300345
IMPACT | SALISH SEA ELEMENTARY,WASHINGTON,Impact Salish Sea Elementary,53033,5300348
IMPACT ACADEMY OF ARTS & TECHNOLOGY DISTRICT,CALIFORNIA,Impact Academy of Arts & Technology District,06001,0601647
IMPACT CHARTER SCHOOL,LOUISIANA,Impact Charter School,22033,2200190
IMPERIAL COUNTY OFFICE OF EDUCATION,California,Imperial County Office of Education,06025,0691010
IMPERIAL UNIFIED,California,Imperial Unified,06025,0618210
IMPERIAL VALLEY ROP,California,Imperial Valley ROP,06025,0600101
IMPERIAL VALLEY ROP JPA,California,Imperial Valley ROP JPA,06025,0601405
IN MATH & SCIENCE ACADEMY,Indiana,IN Math & Science Academy,18097,1800067
IN MATH & SCIENCE ACADEMY - NORTH,Indiana,IN Math & Science Academy - North,18097,1800094
IN SCH FOR THE BLIND & VIS IMPRD,Indiana,IN Sch for the Blind & Vis Imprd,18097,1800023
INCHELIUM SCHOOL DISTRICT,Washington,Inchelium School District,53019,5300002
INCITO SCHOOLS (91326),Arizona,Incito Schools (91326),04013,0400885
INDEPENDENCE,Kansas,Independence,20125,2007650
INDEPENDENCE 30,Missouri,INDEPENDENCE 30,29095,2915480
INDEPENDENCE COMM SCHOOL DISTRICT,Iowa,Independence Comm School District,19019,1914580
INDEPENDENCE CS,Pennsylvania,Independence CS,42101,4200087
INDEPENDENCE CS WEST,PENNSYLVANIA,Independence CS West,42101,4200893
INDEPENDENCE LOCAL,Ohio,Independence Local,39035,3904656
INDEPENDENCE NONTRADITIONAL SCHOOL - MIDDLE,Virginia,INDEPENDENCE NONTRADITIONAL SCHOOL - MIDDLE,51153,5100092
INDEPENDENCE SCHOOL DISTRICT,Wisconsin,Independence School District,55121,5506810
INDEPENDENT ELEM,Montana,Independent Elem,30111,3014820
INDEX ELEMENTARY SCHOOL DISTRICT 63,Washington,Index Elementary School District 63,53061,5303720
INDIAHOMA,Oklahoma,INDIAHOMA,40031,4015420
INDIAN CAPITAL TECHNOLOGY CTR,Oklahoma,INDIAN CAPITAL TECHNOLOGY CTR,40101,4000089
INDIAN CAPITAL TECHNOLOGY CTR,Oklahoma,INDIAN CAPITAL TECHNOLOGY CTR,40021,4000054
INDIAN CAPITAL TECHNOLOGY CTR,Oklahoma,INDIAN CAPITAL TECHNOLOGY CTR,40101,4000077
INDIAN CAPITAL TECHNOLOGY CTR,Oklahoma,INDIAN CAPITAL TECHNOLOGY CTR,40101,4000047
INDIAN CREEK CUSD 425,Illinois,Indian Creek CUSD 425,17037,1735970
INDIAN CREEK LOCAL,Ohio,Indian Creek Local,39081,3904780
INDIAN DIGGINGS ELEMENTARY,California,Indian Diggings Elementary,06017,0618240
INDIAN HILL EXEMPTED VILLAGE,Ohio,Indian Hill Exempted Village,39061,3904543
INDIAN ISLAND,Maine,Indian Island,23029,2300066
INDIAN LAKE CENTRAL SCHOOL DISTRICT,New York,INDIAN LAKE CENTRAL SCHOOL DISTRICT,36041,3615270
INDIAN LAKE LOCAL,Ohio,Indian Lake Local,39091,3904808
INDIAN PRAIRIE CUSD 204,Illinois,Indian Prairie CUSD 204,17043,1741690
INDIAN RIVER,Florida,INDIAN RIVER,12061,1200930
INDIAN RIVER CENTRAL SCHOOL DISTRICT,New York,INDIAN RIVER CENTRAL SCHOOL DISTRICT,36045,3615300
INDIAN RIVER SCHOOL DISTRICT,Delaware,Indian River School District,10005,1000680
INDIAN SPRINGS ELEMENTARY,California,Indian Springs Elementary,06089,0618270
INDIAN SPRINGS SD 109,Illinois,Indian Springs SD 109,17031,1707170
INDIAN TOWNSHIP,Maine,Indian Township,23029,2300064
INDIAN VALLEY LOCAL,Ohio,Indian Valley Local,39157,3905028
INDIANA ACADEMY FOR SCI MATH HMN,Indiana,Indiana Academy for Sci Math Hmn,18035,1800041
INDIANA AGRICULTURE AND TECHNOLOGY,INDIANA,Indiana Agriculture and Technology,18057,1800198
INDIANA AREA SD,Pennsylvania,Indiana Area SD,42063,4212150
INDIANA CONNECTIONS ACADEMY,Indiana,Indiana Connections Academy,18097,1800098
INDIANA CONNECTIONS CAREER ACADEMY,INDIANA,Indiana Connections Career Academy,18097,1800191
INDIANA COUNTY TECHNOLOGY CENTER,Pennsylvania,Indiana County Technology Center,42063,4280660
INDIANA DEPARTMENT OF CORRECTION,Indiana,Indiana Department of Correction,18097,1800006
INDIANA SCHOOL FOR THE DEAF,Indiana,Indiana School For The Deaf,18097,1800024
INDIANAPOLIS METROPOLITAN HIGH SCH,Indiana,Indianapolis Metropolitan High Sch,18097,1800064
INDIANAPOLIS PUBLIC SCHOOLS,Indiana,Indianapolis Public Schools,18097,1804770
INDIANOLA,Oklahoma,INDIANOLA,40121,4015450
INDIANOLA COMM SCHOOL DISTRICT,Iowa,Indianola Comm School District,19181,1914640
INDUSTRIAL ISD,Texas,INDUSTRIAL ISD,48239,4824150
INDY STEAM ACADEMY,INDIANA,Indy Steam Academy,18097,1800228
INFINITY CS,Pennsylvania,Infinity CS,42043,4200118
INFINITY: MINNESOTA DIGITAL ACADEMY,Minnesota,Infinity: Minnesota Digital Academy,27061,2700312
INGALLS,Kansas,Ingalls,20069,2007680
INGENIUM CHARTER DISTRICT,CALIFORNIA,Ingenium Charter District,06037,0602023
INGENIUM CHARTER MIDDLE DISTRICT,CALIFORNIA,Ingenium Charter Middle District,06037,0601858
INGENIUM CLARION CHARTER MIDDLE DISTRICT,CALIFORNIA,Ingenium Clarion Charter Middle District,06037,0602063
INGENUITY CHARTER DISTRICT,CALIFORNIA,Ingenuity Charter District,06073,0601533
INGENUITY PREP PCS,District of Columbia,Ingenuity Prep PCS,11001,1100090
INGHAM ISD,Michigan,Ingham ISD,26065,2680520
INGLESIDE ISD,Texas,INGLESIDE ISD,48409,4824180
INGLEWOOD UNIFIED,California,Inglewood Unified,06037,0618390
INGRAM ISD,Texas,INGRAM ISD,48265,4824210
INKSTER PREPARATORY ACADEMY,MICHIGAN,Inkster Preparatory Academy,26163,2601110
INLAND LAKES SCHOOLS,Michigan,Inland Lakes Schools,26031,2619170
INLAND LEADERS CHARTER DISTRICT,CALIFORNIA,Inland Leaders Charter District,06071,0602309
INLET COMMON SCHOOL DISTRICT,New York,INLET COMMON SCHOOL DISTRICT,36041,3615330
INMAN,Kansas,Inman,20113,2007710
INNOCADEMY,Michigan,Innocademy,26139,2601011
INNOCADEMY ALLEGAN CAMPUS,MICHIGAN,Innocademy Allegan Campus,26005,2601071
INNOVATION ACADEMY CHARTER (DISTRICT),Massachusetts,Innovation Academy Charter (District),25017,2500025
INNOVATION ACADEMY WEST,Ohio,Innovation Academy West,39035,3900119
INNOVATION CHARTER HIGH SCHOOL,New York,INNOVATION CHARTER HIGH SCHOOL,36061,3601036
INNOVATION SCHOOLS,WASHINGTON,Innovation Schools,53071,5300344
INNOVATION SCI & TECH ACADEMY,MINNESOTA,Innovation Sci & Tech Academy,27003,2700464
INNOVATIONS ACADEMY DISTRICT,CALIFORNIA,Innovations Academy District,06073,0601627
INNOVATIVE ARTS ACADEMY CS,PENNSYLVANIA,Innovative Arts Academy CS,42077,4200894
INNOVATIVE SCHOOL DISTRICT,NORTH CAROLINA,Innovative School District,37183,3700442
INOLA,Oklahoma,INOLA,40131,4015480
INQUIRY CS,Pennsylvania,Inquiry CS,42101,4200042
INSIGHT @ SAN DIEGO DISTRICT,CALIFORNIA,Insight @ San Diego District,06111,0601528
INSIGHT @ SAN JOAQUIN DISTRICT,CALIFORNIA,Insight @ San Joaquin District,06111,0602171
INSIGHT PA CYBER CS,PENNSYLVANIA,Insight PA Cyber CS,42029,4200898
INSIGHT SCHOOL OF CALIFORNIA DISTRICT,CALIFORNIA,Insight School of California District,06111,0601745
INSIGHT SCHOOL OF MICHIGAN,MICHIGAN,Insight School of Michigan,26045,2601077
INSIGHT SCHOOL OF OKLAHOMA (CHARTER),OKLAHOMA,INSIGHT SCHOOL OF OKLAHOMA,40109,4000785
INSPIRE ACADEMICS INC.,Idaho,INSPIRE ACADEMICS INC.,16001,1600011
INSPIRE ACADEMIES,Texas,INSPIRE ACADEMIES,48029,4800053
INSPIRE ACADEMY - A SCH OF INQUIRY,Indiana,Inspire Academy - A Sch of Inquiry,18035,1800123
INSPIRE SCHOOL OF ARTS AND SCIENCES DISTRICT,CALIFORNIA,Inspire School of Arts and Sciences District,06007,0601554
INSPIRED TEACHING DEMONSTRATION PCS,District of Columbia,Inspired Teaching Demonstration PCS,11001,1100080
INSPIRED VISION ACADEMY,Texas,INSPIRED VISION ACADEMY,48113,4800204
INSTITUTE FOR TRANSFORMATIVE EDUCATION INC. (90876),Arizona,Institute for Transformative Education Inc. (90876),04019,0400872
INSTITUTIONAL SCHOOLS,Massachusetts,Institutional Schools,25017,2511150
INTECH COLLEGIATE ACADEMY,Utah,Intech Collegiate Academy,49005,4900039
INTEGRATED DAY CHARTER SCHOOL DISTRICT,Connecticut,Integrated Day Charter School District,09011,0900010
INTEGRITY CHARTER DISTRICT,CALIFORNIA,Integrity Charter District,06073,0601928
INTEGRITY EDUCATION INCORPORATED (5174),Arizona,Integrity Education Incorporated (5174),04013,0400650
INTELLECTUAL VIRTUES ACADEMY DISTRICT,CALIFORNIA,Intellectual Virtues Academy District,06037,0601535
INTELLECTUAL VIRTUES ACADEMY OF LONG BEACH DISTRICT,CALIFORNIA,Intellectual Virtues Academy of Long Beach District,06037,0602200
INTELLI-SCHOOL INC. (4352),Arizona,Intelli-School Inc. (4352),04013,0400061
INTER-LAKES COOPERATIVE SAU OFFICE,New Hampshire,Inter-Lakes Cooperative SAU Office,33001,3399902
INTER-LAKES COOPERATIVE SCHOOL DISTRICT,New Hampshire,Inter-lakes School District,33001,3303960
INTERACTIVE MEDIA & CONSTRUCTION (IMAC),Ohio,Interactive Media & Construction (IMAC),39139,3900478
INTERBORO SD,Pennsylvania,Interboro SD,42045,4212170
INTERDISTRICT SCHOOL FOR ARTS AND COMM DISTRICT,Connecticut,Interdistrict School for Arts and Comm District,09011,0900011
INTERGENERATIONAL HIGH SCHOOL,WASHINGTON,Intergenerational High School,53073,5300351
INTERGENERATIONAL SCHOOL THE,Ohio,Intergenerational School The,39035,3900065
INTERLAKEN SCHOOL DISTRICT,New Jersey,Interlaken School District,34025,3407650
INTERMEDIATE SCHOOL DISTRICT 287,Minnesota,Intermediate School District 287,27053,2700025
INTERMEDIATE SCHOOL DISTRICT 917,Minnesota,INTERMEDIATE SCHOOL DISTRICT 917,27037,2700026
INTERMEDIATE UNIT 1,Pennsylvania,Intermediate Unit 1,42125,4289110
INTERMOUNTAIN ESD,Oregon,InterMountain ESD,41059,4100036
INTERMTN CHILDRENS HOME,Montana,Intermtn Childrens Home,30049,3000104
INTERNATIONAL ACAD OF COLUMBUS,Ohio,International Acad Of Columbus,39049,3900190
INTERNATIONAL ACADEMY OF FLINT,Michigan,International Academy of Flint,26049,2600195
INTERNATIONAL ACADEMY OF SAGINAW,Michigan,International Academy of Saginaw,26145,2600946
INTERNATIONAL CHARTER,Rhode Island,International Charter,44007,4400034
INTERNATIONAL CHARTER SCHOOL OF TRENTON,New Jersey,International Charter School of Trenton,34021,3400041
INTERNATIONAL COMMERCE SECONDARY SCHOOLS INC. (4334),Arizona,International Commerce Secondary Schools Inc. (4334),04013,0400107
INTERNATIONAL FALLS SCHOOL DISTRICT,Minnesota,INTERNATIONAL FALLS SCHOOL DISTRICT,27071,2715000
INTERNATIONAL LEADERSHIP CHARTER  HIGH SCHOOL,New York,INTERNATIONAL LEADERSHIP CHARTER  HIGH SCHOOL,36005,3600163
INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),Texas,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),48113,4801440
INTERNATIONAL SCHOOL FOR SCIENCE AND CULTURE DISTRICT,CALIFORNIA,International School for Science and Culture District,06059,0602507
INTERNATIONAL SCHOOL OF LOUISIANA,Louisiana,International School of Louisiana,22071,2200033
INTERNATIONAL SCHOOL OF MONTEREY DISTRICT,CALIFORNIA,International School of Monterey District,06053,0601567
INTERNATIONAL SPANISH LANGUAGE ACAD,Minnesota,International Spanish Language Acad,27053,2700296
INTERSTATE 35 COMM SCHOOL DISTRICT,Iowa,Interstate 35 Comm School District,19121,1914670
INTRINSIC 2 CHARTER HIGH SCHOOL,ILLINOIS,Intrinsic 2 Charter High School,17031,1701438
INVENT LEARNING HUB,INDIANA,Invent Learning Hub,18097,1800207
INVER GROVE HEIGHTS SCHOOLS,Minnesota,INVER GROVE HEIGHTS SCHOOLS,27037,2715030
INVEST COLLEGIATE,North Carolina,Invest Collegiate,37119,3700333
INVEST COLLEGIATE - IMAGINE,North Carolina,Invest Collegiate - Imagine,37021,3700369
INVICTUS ACADEMY OF RICHMOND DISTRICT,CALIFORNIA,Invictus Academy of Richmond District,06013,0602037
INVICTUS HIGH SCHOOL,Ohio,Invictus High School,39035,3900052
INVICTUS LEADERSHIP ACADEMY DISTRICT,CALIFORNIA,Invictus Leadership Academy District,06037,0602547
INWOOD ACADEMY FOR LEADERSHIP CHARTER SCHOOL,New York,INWOOD ACADEMY FOR LEADERSHIP CHARTER SCHOOL,36061,3601024
INYO COUNTY CAREER TECHNICAL EDUCATION,California,Inyo County Career Technical Education,06027,0601424
INYO COUNTY OFFICE OF EDUCATION,California,Inyo County Office of Education,06027,0691011
IOLA,Kansas,Iola,20001,2007740
IOLA ISD,Texas,IOLA ISD,48185,4824240
IOLA-SCANDINAVIA SCHOOL DISTRICT,Wisconsin,Iola-Scandinavia School District,55135,5506840
IONE SD R2,Oregon,Ione SD R2,41049,4100047
IONIA ISD,Michigan,Ionia ISD,26067,2680540
IONIA PUBLIC SCHOOLS,Michigan,Ionia Public Schools,26067,2619250
IONIA TOWNSHIP S/D #2,Michigan,Ionia Township S/D #2,26067,2619290
IOSCO RESA,Michigan,Iosco RESA,26069,2680560
IOWA CITY COMM SCHOOL DISTRICT,Iowa,Iowa City Comm School District,19103,1914700
IOWA FALLS COMM SCHOOL DISTRICT,Iowa,Iowa Falls Comm School District,19083,1914730
IOWA PARK CISD,Texas,IOWA PARK CISD,48485,4824260
IOWA VALLEY COMM SCHOOL DISTRICT,Iowa,Iowa Valley Comm School District,19095,1914850
IOWA-GRANT SCHOOL DISTRICT,Wisconsin,Iowa-Grant School District,55049,5506870
IPAKANNI EARLY COLLEGE CHARTER DISTRICT,CALIFORNIA,Ipakanni Early College Charter District,06007,0601941
IPSWICH,Massachusetts,Ipswich,25009,2506480
IPSWICH PUBLIC SCHOOL DISTRICT 22-6,South Dakota,Ipswich Public School District 22-6,46045,4636060
IQ ACADEMY CALIFORNIA-LOS ANGELES DISTRICT,CALIFORNIA,iQ Academy California-Los Angeles District,06111,0601964
IRA ISD,Texas,IRA ISD,48415,4824300
IRA SCHOOL DISTRICT,Vermont,Ira School District,50021,5004830
IRAAN-SHEFFIELD COLLEGIATE ISD,Texas,IRAAN-SHEFFIELD ISD,48371,4824330
IREDELL CHARTER ACADEMY OF ARTS & SCIENC,NORTH CAROLINA,Iredell Charter Academy,37097,3700400
IREDELL ISD,Texas,IREDELL ISD,48035,4824360
IREDELL-STATESVILLE SCHOOLS,North Carolina,Iredell-Statesville Schools,37097,3702310
IRENE - WAKONDA SCHOOL DISTRICT 13-3,South Dakota,Irene - Wakonda School District 13-3,46125,4680439
IRION COUNTY ISD,Texas,IRION COUNTY ISD,48235,4830360
IRON CO. C-4,Missouri,IRON CO. C-4,29093,2915510
IRON DISTRICT,Utah,Iron District,49021,4900390
IRON MOUNTAIN PUBLIC SCHOOLS,Michigan,Iron Mountain Public Schools,26043,2619410
IRONTON CITY SCHOOL DISTRICT,Ohio,Ironton City School District,39087,3904414
IRONWOOD AREA SCHOOLS OF GOGEBIC COUNTY,Michigan,Ironwood Area Schools of Gogebic County,26053,2619470
IROQUOIS AREA REG DEL SYSTEM,Illinois,Iroquois Area Reg Del System,17075,1700277
IROQUOIS CENTRAL SCHOOL DISTRICT,New York,IROQUOIS CENTRAL SCHOOL DISTRICT,36029,3615360
IROQUOIS COUNTY CUSD 9,Illinois,Iroquois County CUSD 9,17075,1720170
IROQUOIS SCHOOL DISTRICT 02-3,South Dakota,Iroquois School District 02-3,46077,4636150
IROQUOIS SD,Pennsylvania,Iroquois SD,42049,4212210
IROQUOIS SPECIAL EDUCATION,Illinois,Iroquois Special Education,17075,1700051
IROQUOIS WEST CUSD 10,Illinois,Iroquois West CUSD 10,17075,1720180
IROQUOIS/KANKAKEE ROE,Illinois,Iroquois/Kankakee ROE,17091,1700189
IRVINE INTERNATIONAL ACADEMY DISTRICT,CALIFORNIA,Irvine International Academy District,06059,0602552
IRVINE UNIFIED,California,Irvine Unified,06059,0684500
IRVING ISD,Texas,IRVING ISD,48113,4824420
IRVINGTON CCSD 11,Illinois,Irvington CCSD 11,17189,1720190
IRVINGTON COMMUNITY SCHOOL,Indiana,Irvington Community School,18097,1800014
IRVINGTON PUBLIC SCHOOL DISTRICT,New Jersey,Irvington Public School District,34013,3407680
IRVINGTON UNION FREE SCHOOL DISTRICT,New York,IRVINGTON UNION FREE SCHOOL DISTRICT,36119,3615450
IRWIN COUNTY,Georgia,Irwin County,13155,1302910
ISAAC ELEMENTARY DISTRICT (4259),Arizona,Isaac Elementary District (4259),04013,0403960
ISANA ACHERNAR ACADEMY DISTRICT,CALIFORNIA,ISANA Achernar Academy District,06037,0601777
ISANA CARDINAL ACADEMY DISTRICT,CALIFORNIA,ISANA Cardinal Academy District,06037,0601863
ISANA HIMALIA ACADEMY DISTRICT,CALIFORNIA,ISANA Himalia Academy District,06037,0601507
ISANA NASCENT ACADEMY DISTRICT,CALIFORNIA,ISANA Nascent Academy District,06037,0601599
ISANA OCTAVIA ACADEMY DISTRICT,CALIFORNIA,ISANA Octavia Academy District,06037,0602241
ISANA PALMATI ACADEMY DISTRICT,CALIFORNIA,ISANA Palmati Academy District,06037,0601541
ISANTI COMMUNITY SCHOOL,Nebraska,ISANTI COMMUNITY SCHOOL,31107,3176400
ISHPEMING PUBLIC SCHOOL DISTRICT NO. 1,Michigan,Ishpeming Public School District No. 1,26103,2619530
ISLAND CITY ACADEMY,Michigan,Island City Academy,26045,2600073
ISLAND HEIGHTS SCHOOL DISTRICT,New Jersey,Island Heights School District,34029,3407710
ISLAND MONTESSORI CHARTER,North Carolina,Island Montessori Charter,37129,3700332
ISLAND PARK CHARTER SCHOOL INC.,IDAHO,ISLAND PARK CHARTER SCHOOL INC.,16043,1600192
ISLAND PARK UNION FREE SCHOOL DISTRICT,New York,ISLAND PARK UNION FREE SCHOOL DISTRICT,36059,3615480
ISLAND TREES UNION FREE SCHOOL DISTRICT,New York,ISLAND TREES UNION FREE SCHOOL DISTRICT,36059,3615510
ISLAND UNION ELEMENTARY,California,Island Union Elementary,06031,0618510
ISLE AU HAUT PUBLIC SCHOOLS,Maine,Isle Au Haut Public Schools,23009,2306780
ISLE OF WIGHT COUNTY PUBLIC SCHOOLS,Virginia,ISLE OF WIGHT CO PBLC SCHS,51093,5102010
ISLE PUBLIC SCHOOL DISTRICT,Minnesota,ISLE PUBLIC SCHOOL DISTRICT,27095,2715510
ISLESBORO PUBLIC SCHOOLS,Maine,Islesboro Public Schools,23027,2306810
ISLIP UNION FREE SCHOOL DISTRICT,New York,ISLIP UNION FREE SCHOOL DISTRICT,36103,3615540
ISSAQUAH SCHOOL DISTRICT,Washington,Issaquah School District,53033,5303750
ISTEM,OHIO,iSTEM Geauga Early College High School,39085,3901575
ISTHMUS MONTESSORI ACADEMY INC,WISCONSIN,Isthmus Montessori Academy Public Agency,55025,5500082
ISU  LABORATORY SCHOOLS,Illinois,ISU  Laboratory Schools,17113,1700099
ISUCCEED VIRTUAL HIGH SCHOOL INC.,Idaho,ISUCCEED VIRTUAL HIGH SCHOOL INC.,16001,1600144
ITALY ISD,Texas,ITALY ISD,48139,4824450
ITASCA AREA SCHOOLS COLLABORATIVE,Minnesota,ITASCA AREA SCHOOLS COLLABORATIVE,27061,2700196
ITASCA ISD,Texas,ITASCA ISD,48217,4824480
ITASCA SD 10,Illinois,Itasca SD 10,17043,1720220
ITAWAMBA COUNTY SCHOOL DIST,Mississippi,ITAWAMBA COUNTY SCHOOL DIST,28057,2802100
ITHACA CITY SCHOOL DISTRICT,New York,ITHACA CITY SCHOOL DISTRICT,36109,3615570
ITHACA PUBLIC SCHOOLS,Michigan,Ithaca Public Schools,26057,2619580
ITHACA SCHOOL DISTRICT,Wisconsin,Ithaca School District,55103,5506960
ITINERIS EARLY COLLEGE HIGH,Utah,Itineris Early College High,49035,4900067
IUKA CCSD 7,Illinois,Iuka CCSD 7,17121,1720250
IVANHOE PUBLIC SCHOOL DISTRICT,Minnesota,IVANHOE PUBLIC SCHOOL DISTRICT,27081,2715540
IVY ACADEMIA DISTRICT,CALIFORNIA,Ivy Academia District,06037,0602025
IVY BOUND ACAD MATH SCI AND TECH CHARTER MID 2 DISTRICT,CALIFORNIA,Ivy Bound Acad Math Sci and Tech Charter Mid 2 District,06037,0601546
IVY BOUND ACAD OF MATH SCI AND TECH CHARTER MID DISTRICT,CALIFORNIA,Ivy Bound Acad of Math Sci and Tech Charter Mid District,06037,0602099
IVY HILL PREPARATORY CHARTER SCHOOL,NEW YORK,IVY HILL PREPARATORY CHARTER SCHOOL,36047,3601209
IVYTECH CHARTER DISTRICT,CALIFORNIA,IvyTech Charter District,06111,0602134
IVYWOOD CLASSICAL ACADEMY,MICHIGAN,Ivywood Classical Academy,26163,2601123
IZARD COUNTY CONSOLIDATED SCHOOL DISTRICT,Arkansas,IZARD COUNTY CONSOLIDATED SCHOOL DISTRICT,05065,0500021
J O COMBS UNIFIED SCHOOL DISTRICT (4445),Arizona,J O Combs Unified School District (4445),04021,0403990
J PAUL TAYLOR ACADEMY,New Mexico,J PAUL TAYLOR ACADEMY,35013,3500141
J S MORTON HSD 201,Illinois,J S Morton HSD 201,17031,1726880
JAC-CEN-DEL COMMUNITY SCH CORP,Indiana,Jac-Cen-Del Community Sch Corp,18137,1804800
JACKSBORO ISD,Texas,JACKSBORO ISD,48237,4824530
JACKSON,Florida,JACKSON,12063,1200960
JACKSON CENTER LOCAL,Ohio,Jackson Center Local,39149,3910005
JACKSON CITY,Ohio,Jackson City,39079,3904415
JACKSON CO SCHOOL DIST,Mississippi,JACKSON CO SCHOOL DIST,28059,2802160
JACKSON CO. SCHOOL DISTRICT,Arkansas,JACKSON CO. SCHOOL DISTRICT,05067,0513230
JACKSON COUNTY,Alabama,Jackson County,01071,0101830
JACKSON COUNTY,Tennessee,Jackson County,47087,4702070
JACKSON COUNTY,Kentucky,Jackson County,21109,2102940
JACKSON COUNTY,Georgia,Jackson County,13157,1302940
JACKSON COUNTY CENTRAL SCHOOL DIST.,Minnesota,JACKSON COUNTY CENTRAL SCHOOL DIST.,27063,2700231
JACKSON COUNTY PUBLIC SCHOOLS,North Carolina,Jackson County Public Schools,37099,3702340
JACKSON COUNTY SCHOOLS,West Virginia,JACKSON COUNTY SCHOOLS,54035,5400540
JACKSON DAY SCHOOL,NORTH CAROLINA,Jackson Day School,37119,3700441
JACKSON ELEM,Montana,Jackson Elem,30001,3015060
JACKSON INDEPENDENT,Kentucky,Jackson Independent,21025,2102910
JACKSON ISD,Michigan,Jackson ISD,26075,2680580
JACKSON LOCAL,Ohio,Jackson Local,39151,3904985
JACKSON PARISH,Louisiana,Jackson Parish,22049,2200780
JACKSON PREPARATORY & EARLY COLLEGE,Michigan,Jackson Preparatory & Early College,26075,2601044
JACKSON PUBLIC SCHOOL DISTRICT,Mississippi,JACKSON PUBLIC SCHOOL DISTRICT,28049,2802190
JACKSON PUBLIC SCHOOLS,Michigan,Jackson Public Schools,26075,2619620
JACKSON R-II,Missouri,JACKSON R-II,29031,2915600
JACKSON RIVER GOVERNOR'S SCHOOL,Virginia,JACKSON RIVER GOVERNOR'S SCHOOL,51005,5100063
JACKSON RIVER TECHNICAL CENTER,Virginia,JACKSON RIVER TECH CTR,51005,5100004
JACKSON SCHOOL DISTRICT,New Hampshire,Jackson School District,33003,3303990
JACKSON TOWNSHIP SCHOOL DISTRICT,New Jersey,Jackson Township School District,34029,3407740
JACKSON-MILTON LOCAL,Ohio,Jackson-Milton Local,39099,3904832
JACKSON/PERRY CO REG DEL SYSTEM,Illinois,Jackson/Perry Co Reg Del System,17145,1700274
JACKSONVILLE CITY,Alabama,Jacksonville City,01015,0101860
JACKSONVILLE ISD,Texas,JACKSONVILLE ISD,48073,4824590
JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,ARKANSAS,JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,05119,0500419
JACKSONVILLE SD 117,Illinois,Jacksonville SD 117,17137,1720280
JACOBY CREEK ELEMENTARY,California,Jacoby Creek Elementary,06023,0618660
JAFFREY-RINDGE COOPERATIVE SCHOOL DISTRICT,New Hampshire,Jaffrey-Rindge Coop School District,33005,3304030
JAFFREY-RINDGE SAU OFFICE,New Hampshire,Jaffrey-Rindge SAU Office,33005,3300012
JAL,New Mexico,JAL PUBLIC SCHOOLS,35025,3501350
JALEN ROSE LEADERSHIP ACADEMY,Michigan,Jalen Rose Leadership Academy,26163,2600993
JAMES & ROSEMARY PHALEN LEADERSHIP ACADEMY MIDDLE SCHOOL,INDIANA,James & Rosemary Phalen Leadership Academy Middle School,18097,1800188
JAMES A GARFIELD LOCAL,Ohio,James A Garfield Local,39133,3904920
JAMES AND ROSEMARY PHALEN LEADERSHIP ACADEMY HIGH SCHOOL,INDIANA,James and Rosemary Phalen Leadership Academy High School,18097,1800215
JAMES JORDAN MIDDLE DISTRICT,CALIFORNIA,James Jordan Middle District,06037,0602325
