GEO_ID,NAME,P2_001N,P2_002N,P2_003N,P2_004N
1400000US09003468101,"Census Tract 4681.01, Hartford County, Connecticut",6912,2023,4889,0
1400000US09003468102,"Census Tract 4681.02, Hartford County, Connecticut",3991,3652,339,0
1400000US09003470100,"Census Tract 4701, Hartford County, Connecticut",5214,2567,2647,0
1400000US09003471100,"Census Tract 4711, Hartford County, Connecticut",3554,3554,0,0
1400000US09003471200,"Census Tract 4712, Hartford County, Connecticut",3171,3171,0,0
1400000US09003471300,"Census Tract 4713, Hartford County, Connecticut",5161,5161,0,0
1400000US09003471400,"Census Tract 4714, Hartford County, Connecticut",5665,5212,453,0
1400000US09003471500,"Census Tract 4715, Hartford County, Connecticut",3984,3984,0,0
1400000US09003473100,"Census Tract 4731, Hartford County, Connecticut",6162,6162,0,0
1400000US09003473400,"Census Tract 4734, Hartford County, Connecticut",2050,2050,0,0
1400000US09003473501,"Census Tract 4735.01, Hartford County, Connecticut",4638,4638,0,0
1400000US09003473502,"Census Tract 4735.02, Hartford County, Connecticut",3397,3397,0,0
1400000US09003473601,"Census Tract 4736.01, Hartford County, Connecticut",3286,3117,169,0
1400000US09003473602,"Census Tract 4736.02, Hartford County, Connecticut",2374,2374,0,0
1400000US09003473700,"Census Tract 4737, Hartford County, Connecticut",5748,5694,54,0
1400000US09003473800,"Census Tract 4738, Hartford County, Connecticut",1837,1837,0,0
1400000US09003476100,"Census Tract 4761, Hartford County, Connecticut",4734,4734,0,0
1400000US09003476200,"Census Tract 4762, Hartford County, Connecticut",2723,2723,0,0
1400000US09003476300,"Census Tract 4763, Hartford County, Connecticut",5156,5156,0,0
1400000US09003477101,"Census Tract 4771.01, Hartford County, Connecticut",4144,1844,2300,0
1400000US09003477103,"Census Tract 4771.03, Hartford County, Connecticut",5657,5657,0,0
1400000US09003477104,"Census Tract 4771.04, Hartford County, Connecticut",2959,2959,0,0
1400000US09003477200,"Census Tract 4772, Hartford County, Connecticut",2992,943,2049,0
