"","v133_rawvalue","statecode","countycode","v133_numerator","v133_denominator"
"390",8.1,"12","119",0.0598821685306408,0.127
"391",7.7,"12","121",0.053752074943005,0.149
"392",6.9,"12","123",0.147476265939337,0.141
"393",6.3,"12","125",0.194967706422964,0.143
"394",7.4,"12","127",0.108403559420015,0.134
"395",9.1,"12","129",0.0323661974443423,0.096
"396",7.7,"12","131",0.100732110953241,0.126
"397",5.5,"12","133",0.217164214500656,0.171
"398",5.1,"13","001",0.232049082937861,0.18
"399",5.8,"13","003",0.149505742314381,0.188
"400",7.3,"13","005",0.0130389427964006,0.187
"401",5.1,"13","007",0.28043420129185,0.161
"402",6.8,"13","009",0.128798018604939,0.151
"403",8,"13","011",0.00871686177469611,0.154
"404",7.7,"13","013",0.113112721175775,0.121
"405",7.4,"13","015",0.116931546458708,0.13
"406",6.2,"13","017",0.131624408189368,0.178
"407",6.3,"13","019",0.10396093175977,0.189
"408",6.5,"13","021",0.130602221541021,0.166
"409",6,"13","023",0.183848905886385,0.162
"410",7.6,"13","025",0.0265102141254316,0.167
"411",7.1,"13","027",0.0466729292122448,0.179
"412",8,"13","029",0.0964458560947174,0.112
"413",7.2,"13","031",0.0843802402178044,0.155
"414",7.6,"13","033",0.0760752480757749,0.143
"415",7.6,"13","035",0.0854641648034477,0.137
"416",7.3,"13","037",0.0631092810230305,0.16
"417",6.3,"13","039",0.178078853138561,0.152
"418",7.8,"13","043",0.00386919154300923,0.166
"419",6.2,"13","045",0.194697906763745,0.148
"420",7.4,"13","047",0.0965688528767085,0.139
"421",7.7,"13","049",0.0316135326841582,0.159
"422",7.5,"13","051",0.1080629321273,0.13
"423",3.7,"13","053",0.393412884204903,0.171
"424",5.3,"13","055",0.210529503777998,0.182
"425",8.4,"13","057",0.070521351547207,0.108
"426",5.5,"13","059",0.218288718324144,0.168
"427",7.6,"13","061",0.0111433888139169,0.171
"428",7.2,"13","063",0.160225390986449,0.119
"429",6.6,"13","065",0.0514878746995528,0.199
"430",8.5,"13","067",0.0801510237244593,0.101
"431",7.6,"13","069",0.0282422111593733,0.164
"432",6.2,"13","071",0.127413138544919,0.179
"433",8.5,"13","073",0.0591530586458487,0.109
"434",7.7,"13","075",0.00776539547025808,0.17
"435",7.8,"13","077",0.11729495183831,0.112
"436",6.2,"13","079",0.16445656255929,0.162
"437",7.1,"13","081",0.0349977868715934,0.183
"438",NA,"13","083",NA,0.13
"439",8.7,"13","085",0.00259439885346447,0.128
"440",7.1,"13","087",0.0595205087256494,0.171
"441",8.1,"13","089",0.0872247337190477,0.112
"442",7.5,"13","091",0.00154310717935882,0.181
"443",5.6,"13","093",0.251720408082095,0.152
"444",5.3,"13","095",0.245027999694383,0.166
"445",7.6,"13","097",0.149959136159103,0.105
"446",8,"13","099",0.0260572907230373,0.149
"447",6.6,"13","101",0.18308800809923,0.136
"448",8.5,"13","103",0.0653481649914417,0.107
"449",6.9,"13","105",0.104005723891668,0.161
"450",6,"13","107",0.147094835490806,0.182
"451",7.9,"13","109",0,0.164
"452",8,"13","111",0.00416636839734653,0.156
"453",8.9,"13","113",0.0588851871833692,0.09
"454",6.4,"13","115",0.146048428872713,0.165
"455",8.6,"13","117",0.0806517908713702,0.093
"456",NA,"13","119",NA,0.169
"457",8,"13","121",0.0895759898346022,0.117
