statecode,countycode,v128_denominator,v128_numerator,v128_rawvalue,v128_cilow,v128_cihigh,sourceflag,v128_flag_CT
09,007,127317,44,34.559406834908145,25.11091791209684,46.394390600083064,,U
09,009,788894,335,42.464513610193514,37.9171485362118,47.01187868417523,,U
09,011,232858,90,38.65016447792217,31.079296451530972,47.50761399217825,,U
09,013,137170,32,23.32871619158708,15.956824605441831,32.93318661472659,,U
09,015,104527,36,34.44086216958298,24.121956448874684,47.680670534155,,U
10,000,937256,508,54.20077332126975,49.48742323711219,58.91412340542731,,
10,001,191038,121,63.33818402621468,52.05247123608915,74.6238968163402,,
10,003,550459,284,51.59330667679155,45.59276765193206,57.59384570165104,,
10,005,195759,103,52.61571626336464,42.454330341092486,62.77710218563679,,
11,000,587240,415,70.6695729173762,63.870268438214666,77.46887739653774,,
11,001,587240,415,70.6695729173762,63.870268438214666,77.46887739653774,,
12,000,19181654,10603,55.27677644482587,54.22461011679427,56.328942772857474,,
12,001,262207,158,60.25773530073568,50.86179317243476,69.6536774290366,,
12,003,30100,27,89.70099667774086,59.1135220324411,130.51024068160163,,
12,005,164661,122,74.09161853748003,60.94405621629467,87.23918085866539,,
12,007,24596,18,73.1826313221662,43.372665394371154,115.66010842221493,,
12,009,498911,283,56.723543878567526,50.114689087057414,63.33239867007764,,
12,011,1774421,861,48.522870277121385,45.28170648654434,51.76403406769843,,
12,013,11922,10,83.87854386847845,40.223022111495006,154.2556286027326,,
12,015,103796,65,62.62283710354927,48.330983592078965,79.81794656429109,,
12,017,103446,79,76.36834677029562,60.461539314806636,95.177746036266,,
12,019,225874,128,56.66876223026998,46.85140004692433,66.48612441361561,,
12,021,286808,129,44.977824886335114,37.21607461593224,52.739575156737985,,
12,023,68515,69,100.70787418813399,78.35673729379677,127.45226022775346,,
12,027,29338,33,112.48210511964007,77.42750553115359,157.9666959887153,,
12,029,13624,13,95.41984732824427,50.807049992687915,163.1708449659342,,
12,031,989560,732,73.97227050406241,68.61344667395637,79.33109433416844,,
12,033,314348,225,71.57672388562995,62.2240319645743,80.9294158066856,,
12,035,89049,43,48.28802120181024,34.94628037593593,65.04364766632263,,
12,037,8180,6,73.34963325183375,14.657702984657362,132.04156351901014,,
12,039,41685,43,103.15461197073289,74.65350416688783,138.9485853673591,,
12,041,17618,9,51.084118515154955,17.709161085253726,84.45907594505618,,
12,043,7989,7,87.62047815746651,22.710319568323982,152.53063674660905,,
12,045,11181,8,71.54995080940881,21.96836450672987,121.13153711208776,,
12,047,12220,16,130.9328968903437,74.83946361408776,212.6268215839685,,
12,049,29333,22,75.0008522824123,47.002634821633,113.55219168555975,,
12,051,47755,37,77.47879803161972,54.552223991427134,106.79431712266951,,
12,053,165682,97,58.54588911287889,47.47677211419004,71.42101974409643,,
12,055,77312,59,76.31415562913907,58.093871104994626,98.43970064488795,,
12,057,1463165,844,57.683173121281605,53.79152118444406,61.57482505811915,,
12,059,17706,19,107.30825708799277,64.60658061881134,167.57513595157346,,
12,061,110679,63,56.92136719702925,43.7399414482307,72.82715536541755,,
12,063,39935,42,105.17090271691498,75.79793597715712,142.16050777135507,,
12,065,11020,12,108.8929219600726,56.26656178513808,190.2140204008798,,
12,067,7190,6,83.44923504867872,16.675940252364,150.22252984499343,,
12,069,333128,167,50.13088062246344,42.52756236422415,57.73419888070272,,
12,071,617711,377,61.0317769960386,54.87091598428111,67.19263800779609,,
12,073,287668,179,62.22450880876566,53.108787632232676,71.34022998529865,,
12,075,37564,20,53.24246619103397,32.521881549898694,82.22867080895165,,
12,077,6008,5,83.22237017310253,10.274746406464914,156.16999393974015,,
12,079,14866,10,67.26759047490918,32.25742429794453,123.70749389222237,,
12,081,324067,172,53.07544427541218,45.14339349107936,61.007495059745004,,
12,083,319069,243,76.15907530972925,66.58328567002279,85.7348649494357,,
12,085,113596,42,36.97313285679073,26.646982052605455,49.97693473228867,,
12,086,2389142,1113,46.585761750452676,43.84884435144332,49.32267914946203,,
12,087,54056,28,51.79813526713039,34.41948471188681,74.86272743685845,,
12,089,81249,57,70.1547095964258,53.13449194811597,90.89356349365879,,
12,091,209769,108,51.48520515424109,41.775039449580255,61.19537085890193,,
12,093,38758,30,77.40337478714072,52.22373192997811,110.49813043709082,,
12,095,1392020,758,54.45324061435899,50.57669231764559,58.32978891107239,,
12,097,435443,189,43.40407355268083,37.21599725191578,49.592149853445875,,
12,099,1263721,633,50.090170219534215,46.18799538413908,53.99234505492935,,
12,101,532987,238,44.65399718942488,38.98079928848895,50.3271950903608,,
12,103,658578,312,47.37479842934322,42.1179415959833,52.63165526270315,,
12,105,756864,500,66.06206663284289,60.27147118121672,71.85266208446905,,
12,107,69179,67,96.8502002052646,75.05757487850438,122.9963307185654,,
12,109,283421,106,37.40019264627533,30.280242086389322,44.520143206161336,,
12,111,303841,148,48.70968697443729,40.86202022809001,56.55735372078457,,
12,113,186971,98,52.41454557123833,42.55266168247891,63.87654250826881,,
12,115,281652,120,42.60576882109838,34.98262953779753,50.22890810439923,,
12,117,431686,206,47.719870461400184,41.203260660517515,54.23648026228285,,
12,119,44167,32,72.45228337899337,49.55730819680885,102.28100636090399,,
12,121,41414,29,70.0246293523929,46.89659327171472,100.56704843431348,,
12,123,18991,16,84.25043441630245,48.156402788908025,136.81742718951583,,
12,125,14719,10,67.93939805693321,32.57958214642594,124.94297195473727,,
12,127,452937,231,51.000470264076455,44.42352447669355,57.57741605145936,,
12,129,31692,15,47.330556607345706,26.49055323988172,78.06455531833221,,
12,131,72441,40,55.21734929114728,39.44808387762313,75.19035762066243,,
12,133,22453,19,84.62120874716074,50.947495498894284,132.14649967303077,,
13,000,11253638,7026,62.433143842018026,60.973263693187796,63.893023990848256,,
13,001,19680,19,96.54471544715447,58.126225428692756,150.7665323759431,,
13,003,9283,13,140.0409350425509,74.56589993540668,239.47426390346737,,
13,005,12269,10,81.50623522699486,39.08540790718424,149.89286854688874,,
13,007,2348,3,127.76831345826234,-16.815144073040884,272.3517709895656,,
13,009,43418,31,71.39895895711456,48.51212856221348,101.34512299794729,,
13,011,17963,16,89.07198129488393,50.912333427832344,144.6473172496852,,
13,013,97278,45,46.259174736322706,33.74175948131588,61.89841536314357,,
13,015,114265,74,64.76173806502429,50.85189361864174,81.30243162989248,,
13,017,18208,14,76.88927943760984,42.036084557889936,129.00714588002842,,
13,019,19153,17,88.75894115804313,51.70535409391369,142.11166300791842,,
13,021,168026,166,98.79423422565554,83.7651116467801,113.82335680453099,,
13,023,12922,15,116.08110199659495,64.96971159869459,191.4581246826021,,
13,025,18657,8,42.879348233906846,13.165475883033,72.5932205847807,,
13,027,14878,10,67.21333512568893,32.23140674910898,123.60771637328791,,
13,029,58229,33,56.67279190781226,39.01094226713465,79.58967055791666,,
13,031,91869,50,54.42532301429208,40.39552377566084,71.75300336820561,,
13,033,25993,19,73.0966029315585,44.008929959476525,114.1494001138214,,
13,035,23709,14,59.0493061706525,32.28280516386435,99.07470210399248,,
13,037,4063,5,123.06177701206006,15.193373470352256,230.93018055376785,,
13,039,59783,31,51.8542060451968,35.2324172074701,73.60290635004726,,
13,043,12397,13,104.86408001935952,55.835706146679044,179.32077049414275,,
13,045,135169,75,55.48609518454675,43.64333367965395,69.5523007855594,,
