statecode,countycode,v149_numerator,v149_denominator,v149_rawvalue,v149_cilow,v149_cihigh,relative_standard_error,v149_sourceflag,v149_flag_CT
06,023,832,7272,0.11441144114411442,0.06104838114861065,0.16777450113961817,0.2379661574564017,,
06,025,686,10711,0.06404630753431052,0.03446420888599937,0.09362840618262168,0.23565616902336886,,
06,027,,,,,,0.5585304516943924,,
06,029,6224,54780,0.11361810879883169,0.0934465327695087,0.13378968482815468,0.09058081085776529,,
06,031,1003,8566,0.11709082418865281,0.07753141827064511,0.15665023010666052,0.17237362966897976,,
06,033,381,2724,0.13986784140969163,0.0672628449506667,0.21247283786871657,0.2648454796110985,,
06,035,,,,,,0.4277301344371214,,
06,037,33348,487443,0.0684141530394323,0.06459597484493515,0.07223233123392944,0.02847437281157931,,
06,039,743,9750,0.0762051282051282,0.04917869037573081,0.1032315660345256,0.1809458131929468,,
06,041,519,12676,0.040943515304512464,0.024197571250170698,0.05768945935885423,0.2086740462750543,,
06,043,,,,,,1.9883203532874993,,
06,045,458,4056,0.11291913214990137,0.06001915750314749,0.16581910679665526,0.2390186894742378,,
06,047,2040,20298,0.10050251256281408,0.07607431897380379,0.12493070615182436,0.12401047255645523,,
06,049,,,,,,Inf,,
06,051,,,,,,8.5504784226042,,
06,053,1886,25952,0.07267262638717632,0.05604726857711599,0.08929798419723665,0.11671967610066813,,
06,055,139,7274,0.0191091558977179,0.006937969439144398,0.0312803423562914,0.3249640665822333,,
06,057,290,3629,0.07991182143841279,0.034639286868428015,0.12518435600839756,0.2890464953456628,,
06,059,7607,166807,0.04560360176731192,0.04003125570146998,0.051175947833153865,0.06234230624082119,,
06,061,1203,20011,0.060116935685373046,0.04333815309116267,0.07689571827958341,0.1423991969450285,,
06,063,,,,,,0.8443473249008671,,
06,065,11838,140375,0.0843312555654497,0.07668672947125882,0.09197578165964057,0.046249381551973966,,
06,067,5542,78790,0.07033887549181368,0.06164725152860448,0.07903049945502288,0.0630448239474857,,
06,069,,,,,,0.41476644080920677,,
06,071,10192,126756,0.08040645018776231,0.07198390789387141,0.08882899248165321,0.053443665850588885,,
06,073,8355,167309,0.04993754071807255,0.04407382952764696,0.055801251908498134,0.059908624650943154,,
06,075,670,24279,0.02759586473907492,0.018240632883029646,0.03695109659512019,0.17296350459406276,,
06,077,4236,46405,0.09128326688934382,0.07740475905267814,0.1051617747260095,0.07757031038143308,,
06,079,373,19431,0.019196129895527766,0.009870578223318962,0.02852168156773657,0.24785905036752373,,
06,081,1704,33348,0.05109751709247931,0.037184150692369654,0.06501088349258896,0.13892370374354962,,
06,083,1863,32046,0.0581351806777757,0.04091418335305847,0.07535617800249292,0.15113435655347646,,
06,085,3492,97341,0.03587388664591488,0.02917476897419551,0.04257300431763425,0.09527590955461392,,
06,087,514,18588,0.027652248762642564,0.0168157181108782,0.038488779414406926,0.19994186428471772,,
06,089,738,8214,0.08984660336011688,0.06110784748526148,0.11858535923497228,0.16319627008742757,,
06,091,,,,,,Inf,,
06,093,,,,,,0.40888941971297643,,
06,095,1511,21738,0.06950961449995399,0.05162799015531261,0.08739123884459538,0.1312520259605797,,
06,097,1474,23420,0.06293766011955594,0.04511429526402638,0.0807610249750855,0.14448509017407243,,
06,099,2369,32370,0.07318504788384307,0.05794675583652957,0.08842333993115657,0.10623261204924535,,
06,101,415,5355,0.07749766573295985,0.04446298607223592,0.11053234539368378,0.217483045959155,,
06,103,,,,,,0.35781927038275435,,
06,105,,,,,,0.4560955273527651,,
06,107,2615,30674,0.08525135293734107,0.06966217454129964,0.1008405313333825,0.0932966125805156,,
06,109,,,,,,0.7927299641841722,,
06,111,2721,44084,0.061723074131204064,0.050881424235169545,0.07256472402723858,0.08961728018975351,,
06,113,948,18114,0.05233521033454786,0.0314618703998142,0.07320855026928152,0.20348945124955095,,
06,115,493,4329,0.11388311388311388,0.059236024611095645,0.16853020315513212,0.24482266988716206,,
08,000,18806,298835,0.06293104890658725,0.05835720662237713,0.06750489119079738,0.037081743315798346,,
08,001,2739,28710,0.09540229885057472,0.07649161000722923,0.1143129876939202,0.10113289460112229,,
08,003,,,,,,1.1952611367611057,,
08,005,2262,32359,0.06990327265984733,0.054328156612214795,0.08547838870747987,0.11367833689378672,,
08,007,,,,,,0.934478854967721,,
08,009,,,,,,7.040252938284833,,
08,011,,,,,,1.003117660445833,,
08,013,1467,24442,0.06001963832746911,0.03577949270146959,0.08425978395346863,0.20605624396264774,,
08,014,251,3809,0.06589656077710686,0.021585168322401684,0.11020795323181204,0.3430809290592162,,
08,015,,,,,,2.129195114679451,,
08,017,,,,,,2.07509735579555,,
08,019,,,,,,5.929515935448558,,
08,021,,,,,,0.7028754075308207,,
08,023,,,,,,20.942122258081568,,
08,025,,,,,,0.797712915317933,,
08,027,,,,,,0.5612194837459377,,
08,029,188,1481,0.12694125590817015,0.04245987102550272,0.21142264079083758,0.3395487706557492,,
08,031,2186,27479,0.0795516576294625,0.06218591505134312,0.09691740020758187,0.1113750864275777,,
08,033,,,,,,2.2056568213459125,,
08,035,581,21190,0.027418593676262388,0.015690123855575992,0.039147063496948784,0.21824289183001225,,
08,037,,,,,,1.8123558825330972,,
08,039,,,,,,0.6034826670381908,,
08,041,2364,38499,0.06140419231668355,0.04980521898295641,0.07300316565041069,0.09637523619064052,,
08,043,,,,,,0.9963270657266791,,
08,045,,,,,,0.40525370374513686,,
08,047,,,,,,Inf,,
08,049,,,,,,3.304118411342799,,
08,051,,,,,,5.748373083704459,,
08,053,,,,,,Inf,,
08,055,,,,,,0.8745529131174973,,
08,057,,,,,,Inf,,
08,059,1486,26311,0.05647827904678652,0.04244025867598323,0.0705162994175898,0.1268143330871142,,
08,061,,,,,,Inf,,
08,063,,,,,,4.485717143195733,,
08,065,,,,,,1.5746471645409685,,
08,067,,,,,,0.3701981006369987,,
08,069,979,23351,0.04192539934049934,0.02523681891395635,0.05861397976704233,0.20308886699266504,,
08,071,,,,,,1.6192151900936997,,
08,073,,,,,,3.13689921979596,,
08,075,,,,,,0.47788397914723185,,
08,077,296,8580,0.0344988344988345,0.0171551910864681,0.051842477911200904,0.2564955537749995,,
08,079,,,,,,2.4230025114014677,,
08,081,,,,,,0.48111660824291563,,
08,083,,,,,,0.9183974102319412,,
08,085,,,,,,0.39708252559295676,,
08,087,,,,,,0.6134196894755808,,
08,089,,,,,,0.4139520771459627,,
08,091,,,,,,Inf,,
08,093,,,,,,4.949563294372688,,
08,095,,,,,,2.369508995034958,,
08,097,,,,,,33.824267821765886,,
08,099,,,,,,0.8190780570121436,,
08,101,1089,8266,0.13174449552383258,0.1007380892410813,0.16275090180658386,0.12007784446188327,,
08,103,,,,,,1.5522166407749514,,
08,105,,,,,,1.172127498992227,,
08,107,,,,,,0.6628176761333711,,
08,109,,,,,,2.1702478734782176,,
08,111,,,,,,Inf,,
08,113,,,,,,15.32553363392013,,
08,115,,,,,,Inf,,
08,117,,,,,,Inf,,
08,119,,,,,,0.912117908349553,,
08,121,,,,,,1.71191435299812,,
08,123,997,18972,0.05255112797807295,0.03648683144027501,0.0686154245158709,0.1559637248045681,,
08,125,,,,,,1.364011523872443,,
09,000,9072,189668,0.04783094670687728,0.0425511991718846,0.053110694241869955,0.056318114689456605,,
09,001,,,,,,,,U
09,003,,,,,,,,U
09,005,,,,,,,,U
09,007,,,,,,,,U
09,009,,,,,,,,U
09,011,,,,,,,,U
09,013,,,,,,,,U
09,015,,,,,,,,U
09,110,2176,51945,0.04189046106458755,0.03295941494312821,0.05082150718604689,0.10877550804209307,,A
09,120,952,20106,0.04734905003481548,0.03242722878773732,0.06227087128189364,0.16078831782378314,,A
09,130,278,8658,0.03210903210903211,0.015568270891471427,0.0486497933265928,0.26282834866693655,,A
09,140,1448,21687,0.0667681099276064,0.04760048788357929,0.08593573197163351,0.14646811198726464,,A
09,150,284,4226,0.06720302886890676,0.03778734918435122,0.0966187085534623,0.2233232652107857,,A
09,160,295,5103,0.05780913188320596,0.030635330664186968,0.08498293310222495,0.239826889693279,,A
09,170,1550,32000,0.0484375,0.03553480059800969,0.061340199401990314,0.1359073011401218,,A
09,180,644,14325,0.04495636998254799,0.027060181993804566,0.06285255797129141,0.20310154403183991,,A
09,190,1445,31618,0.04570181542159529,0.03168766645597691,0.059715964387213674,0.15645059035199566,,A
