statecode,countycode,v058_numerator,v058_denominator,v058_rawvalue,v058_cilow,v058_cihigh,v058_flag_CT
13,233,22277,42853,0.5198469185354584,,,
13,235,9855,9855,1,,,
13,237,22047,22047,1,,,
13,239,1647,2235,0.7369127516778523,,,
13,241,16883,16883,1,,,
13,243,6425,6425,1,,,
13,245,17217,206607,0.08333212330656754,,,
13,247,12831,93570,0.13712728438602115,,,
13,249,4547,4547,1,,,
13,251,14067,14067,1,,,
13,253,9147,9147,1,,,
13,255,27362,67306,0.40653136421715746,,,
13,257,14977,26784,0.5591771206690561,,,
13,259,5314,5314,1,,,
13,261,12209,29616,0.4122433819556996,,,
13,263,5733,5733,1,,,
13,265,1559,1559,1,,,
13,267,22842,22842,1,,,
13,269,7816,7816,1,,,
13,271,12477,12477,1,,,
13,273,9185,9185,1,,,
13,275,20567,45798,0.44908074588409974,,,
13,277,16764,41344,0.40547600619195046,,,
13,279,13432,27030,0.496929337772845,,,
13,281,12493,12493,1,,,
13,283,6406,6406,1,,,
13,285,31494,69426,0.45363408521303256,,,
13,287,4268,9006,0.4739062846990895,,,
13,289,8022,8022,1,,,
13,291,24632,24632,1,,,
13,293,12935,27700,0.46696750902527073,,,
13,295,34515,67654,0.5101693913146303,,,
13,297,56129,96673,0.5806067878311421,,,
13,299,11641,36251,0.32112217593997405,,,
13,301,5215,5215,1,,,
13,303,12891,19988,0.6449369621773063,,,
13,305,17372,30144,0.5763004246284501,,,
13,307,2348,2348,1,,,
13,309,7471,7471,1,,,
13,311,28003,28003,1,,,
13,313,35892,102864,0.3489267382174522,,,
13,315,8766,8766,1,,,
13,317,9565,9565,1,,,
13,319,8877,8877,1,,,
13,321,14638,20784,0.7042917628945342,,,
15,000,202821,1455271,0.1393699180427563,,,
15,001,119371,200629,0.5949837760244032,,,
15,003,17167,1016508,0.016888209438587792,,,
15,005,82,82,1,,,
15,007,30933,73298,0.4220169718136921,,,
15,009,35268,164754,0.21406460541170472,,,
16,000,565669,1839106,0.3075782472570912,,,
16,001,27549,494967,0.05565825600494578,,,
16,003,4379,4379,1,,,
16,005,14807,87018,0.17016019674090418,,,
16,007,6372,6372,1,,,
16,009,9530,9530,1,,,
16,011,28652,47992,0.5970161693615602,,,
16,013,5891,24272,0.24270764667106132,,,
16,015,7610,7610,1,,,
16,017,34286,47110,0.7277860326894502,,,
