"statecode","countycode","v044_numerator","v044_denominator","v044_rawvalue","v044_cilow","v044_cihigh"
"39","061",147195,27389,5.37423783270656,5.16741644830839,5.58105921710473
"39","063",133410,31252,4.2688467938052,3.87522956395618,4.66246402365421
"39","065",116355,27417,4.24389977021556,3.60629712026235,4.88150242016877
"39","067",110552,25053,4.41272502295134,3.77433903010897,5.05111101579372
"39","069",128348,36671,3.49998636524774,3.17627034754989,3.8237023829456
"39","071",115003,25917,4.43735771887178,3.69551583397935,5.17919960376422
"39","073",115838,27244,4.25187197181031,3.65112511614411,4.8526188274765
"39","075",139957,39245,3.56623773729137,2.94875209877273,4.18372337581002
"39","077",117469,29775,3.94522250209908,3.55930849443138,4.33113650976677
"39","079",107658,23216,4.63723294279807,3.92857615947152,5.34588972612462
"39","081",109317,22687,4.81848635782607,4.35862435959765,5.27834835605448
"39","083",130973,34607,3.78458115410177,3.42668197305048,4.14248033515306
"39","085",140511,35422,3.96677206255999,3.80599266951019,4.12755145560979
"39","087",101402,21793,4.65296196026247,4.22427781931907,5.08164610120587
"39","089",152068,35925,4.23292971468337,3.94705580748448,4.51880362188226
"39","091",127909,33263,3.84538375973304,3.28607069494585,4.40469682452022
"39","093",138416,29632,4.67116630669546,4.40204004027774,4.94029257311318
"39","095",121636,24034,5.06099692102854,4.79471445713943,5.32727938491766
"39","097",144908,39353,3.68226056463294,3.28549517431777,4.07902595494811
"39","099",113315,22676,4.99713353325101,4.65553748080061,5.33872958570142
"39","101",110608,25537,4.33128401926616,3.91526050739855,4.74730753113377
"39","103",166693,43112,3.86651048431991,3.60425263222699,4.12876833641283
"39","105",92791,19490,4.7609543355567,3.7226067717284,5.79930189938499
"39","107",132444,34716,3.81507086069824,3.36350956126878,4.26663216012769
"39","109",136925,34967,3.91583493007693,3.5402020785494,4.29146778160446
"39","111",112171,26579,4.2202866925016,3.33063110625324,5.10994227874996
"39","113",124655,26769,4.65669244275094,4.42358285999829,4.8898020255036
"39","115",102933,21585,4.76872828353023,3.93422187926559,5.60323468779487
"39","117",126717,38672,3.27671183285064,2.92918122517929,3.62424244052199
"39","119",116939,24170,4.83818783616053,4.41098122180717,5.26539445051388
"39","121",116259,21460,5.41747437092265,3.76695359045825,7.06799515138705
"39","123",139609,34141,4.0891889517003,3.62680460410505,4.55157329929556
"39","125",117484,31660,3.71080227416298,3.21163119912545,4.20997334920051
"39","127",118689,24612,4.82240370550951,4.20854886713391,5.4362585438851
"39","129",133029,33157,4.01209397713907,3.6152943277649,4.40889362651323
"39","131",109405,17472,6.26173305860806,4.62336666832067,7.90009944889544
"39","133",140574,30130,4.6655824759376,4.35611294565209,4.97505200622311
"39","135",126933,31637,4.01216929544521,3.58342686257912,4.44091172831129
"39","137",137932,39604,3.48277951722048,3.19306704700341,3.77249198743756
"39","139",108831,25788,4.22021870637506,3.91522021254946,4.52521720020065
"39","141",113651,25860,4.39485692188708,4.09159482232662,4.69811902144755
"39","143",122144,27429,4.45309708702468,3.79853143840405,5.10766273564532
"39","145",107883,19147,5.63445970648143,4.942741105492,6.32617830747087
"39","147",116522,28378,4.10606808090774,3.80328718049282,4.40884898132267
"39","149",133223,35190,3.78581983518045,3.40485336937047,4.16678630099043
"39","151",122858,28653,4.28778836422015,4.12142552438427,4.45415120405604
"39","153",140784,29225,4.81724550898204,4.63970608540901,4.99478493255506
"39","155",107859,23520,4.58584183673469,4.26215168346299,4.9095319900064
"39","157",117996,27853,4.23638387247334,3.87238694449346,4.60038080045322
"39","159",183274,51054,3.58980687115603,3.27325897492074,3.90635476739132
"39","161",120075,34597,3.4706766482643,3.16158848566253,3.77976481086607
"39","163",118372,23646,5.0060052440159,3.54255561083633,6.46945487719548
"39","165",197154,51639,3.81792830999826,3.60256378299233,4.03329283700418
"39","167",116251,25964,4.47739177322446,3.9900944742883,4.96468907216063
"39","169",125616,32870,3.82160024338302,3.52166523297449,4.12153525379156
"39","171",106452,29961,3.55301892460198,3.25075814699577,3.8552797022082
"39","173",145122,31829,4.55942693769833,4.23847409118074,4.88037978421591
"39","175",121155,31470,3.84985700667302,3.33430363521472,4.36541037813133
"40","000",125327,27416,4.57130872483221,4.51229771569138,4.63031973397305
"40","001",88515,17404,5.085899793151,4.26651372607556,5.90528586022644
"40","003",128152,27708,4.62509022664934,3.09286761879732,6.15731283450136
"40","005",107286,21052,5.09623788713661,4.37040558592811,5.82207018834512
"40","007",118750,29466,4.03006855358718,3.20837133275666,4.85176577441771
"40","009",110643,18163,6.09166987832407,4.87006147518119,7.31327828146694
"40","011",116824,28639,4.07919270924264,3.54325168466434,4.61513373382095
"40","013",105368,24689,4.26781157600551,3.87361166688849,4.66201148512253
"40","015",101140,24080,4.20016611295681,3.75679535526055,4.64353687065307
"40","017",147416,42794,3.44478197878207,3.22505468772267,3.66450926984147
"40","019",121035,26258,4.6094523573768,4.21722266223021,5.00168205252339
"40","021",106008,23273,4.55497787135307,4.18508661885607,4.92486912385007
"40","023",94264,16327,5.77350401175966,4.80466985578654,6.74233816773279
"40","025",139750,26375,5.29857819905213,1.98853539354098,8.60862100456328
"40","027",138112,33453,4.12853854661764,3.87195219640851,4.38512489682678
"40","029",95114,20164,4.71702043245388,3.94927065112984,5.48477021377792
"40","031",112885,25147,4.48900465264246,4.11579551222531,4.86221379305961
"40","033",112481,19634,5.72888866252419,4.31138533000499,7.14639199504339
"40","035",94859,23929,3.96418571607673,3.312235550175,4.61613588197846
"40","037",119272,26063,4.57629589840003,4.28824100900909,4.86435078779097
"40","039",113980,23617,4.82618452809417,4.04599266737009,5.60637638881825
"40","041",108232,23057,4.69410591143687,4.17947637911367,5.20873544376008
"40","043",117000,29934,3.90859891761876,3.24891097013002,4.5682868651075
"40","045",113019,27000,4.18588888888889,3.35780632995967,5.01397144781811
"40","047",122680,28818,4.257061558748,3.84448564839256,4.66963746910345
"40","049",113700,26359,4.3135172047498,3.82499697138299,4.80203743811661
"40","051",136759,30825,4.43662611516626,4.0410613284733,4.83219090185922
"40","053",114712,25380,4.51977935382191,3.38181505243488,5.65774365520894
"40","055",103487,19485,5.31111111111111,3.15772567974799,7.46449654247423
"40","057",106607,23594,4.51839450707807,2.87148163600242,6.16530737815372
"40","059",103250,24653,4.18813126191539,3.27820081001165,5.09806171381912
"40","061",98536,21961,4.48686307545194,3.73054570541806,5.24318044548582
"40","063",87337,21477,4.06653629464078,3.49392288177921,4.63914970750235
"40","065",116222,27106,4.28768538330997,3.78309751433939,4.79227325228054
"40","067",89118,17570,5.07216846898122,4.22032711671077,5.92400982125167
"40","069",99143,22459,4.41439957255443,3.92113472962793,4.90766441548093
"40","071",108669,26279,4.13520301381331,3.78127531569785,4.48913071192878
"40","073",132146,32878,4.01928341139972,3.25331967159405,4.78524715120539
"40","075",93452,19297,4.84282530963362,3.85635490385015,5.8292957154171
"40","077",93548,19934,4.69288652553426,3.80378771154014,5.58198533952839
"40","079",96735,22004,4.39624613706599,4.04828194297596,4.74421033115602
"40","081",113451,24667,4.59930271212551,4.24878357826043,4.94982184599059
"40","083",164698,34145,4.82348806560258,4.13011348706936,5.51686264413579
"40","085",118231,28974,4.08058949402913,3.1201477910826,5.04103119697566
"40","087",146226,36992,3.95290873702422,3.48701103140417,4.41880644264427
"40","089",100690,20119,5.00472190466723,4.53313844902346,5.476305360311
"40","091",91179,17728,5.14321976534296,4.24294030589981,6.04349922478611
"40","093",122667,28709,4.27277160472326,3.90840480959298,4.63713839985353
"40","095",110907,22669,4.89245224756275,4.18786165525736,5.59704283986814
"40","097",115653,25243,4.58158697460682,4.27560655546254,4.88756739375111
"40","099",116471,25022,4.65474382543362,3.69276691622604,5.61672073464119
"40","101",102192,22751,4.49175860401741,4.14299045255373,4.84052675548108
