statecode,countycode,v128_race_white,v128_race_white_cilow,v128_race_white_cihigh,sourceflag.x,v128_race_black,v128_race_black_cilow,v128_race_black_cihigh,sourceflag.y,v128_race_aian,v128_race_aian_cilow,v128_race_aian_cihigh,sourceflag.x.x,v128_race_asian,v128_race_asian_cilow,v128_race_asian_cihigh,sourceflag.y.y,v128_race_nhopi,v128_race_nhopi_cilow,v128_race_nhopi_cihigh,sourceflag.x.x.x,v128_race_tom,v128_race_tom_cilow,v128_race_tom_cihigh,sourceflag.y.y.y,v128_race_hispanic,v128_race_hispanic_cilow,v128_race_hispanic_cihigh,sourceflag,v128_race_flag_CT
05,055,78.60324417025939,54.106856519852876,110.38817918959884,,,,,,,,,,,,,,,,,,,,,,,,,,
05,057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,059,84.72308927138144,51.00883422976338,132.30559873176492,,,,,,,,,,,,,,,,,,,,,,,,,,
05,061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,063,43.6477007014809,23.86260413499797,73.23342516550451,,,,,,,,,,,,,,,,,,,,,,,,,,
05,065,120.49402550456873,62.261021274447394,210.47881361760167,,,,,,,,,,,,,,,,,,,,,,,,,,
05,067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,069,73.64604577384999,39.213417692067765,125.93698118150282,,144.45206150230143,109.96360206809679,186.33263481190818,,,,,,,,,,,,,,,,,,,,,,
05,071,56.84167011161637,28.375156920405324,101.70544911793073,,,,,,,,,,,,,,,,,,,,,,,,,,
05,073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,075,106.22759261718231,60.71824760085994,172.50695523543322,,,,,,,,,,,,,,,,,,,,,,,,,,
05,077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,083,104.22094841063053,61.76793920676005,164.71403084666773,,,,,,,,,,,,,,,,,,,,,,,,,,
05,085,63.34100634954966,45.454599744249535,85.92922734127657,,,,,,,,,,,,,,,,,,,,,,,,,,
05,087,70.61149555147578,33.860956758455266,129.85705438509942,,,,,,,,,,,,,,,,,,,,,,,,,,
05,089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,091,93.86733416770963,60.14257217884254,139.6671526664315,,137.65677577240746,81.58412955337663,217.5570531319057,,,,,,,,,,,,,,,,,,,,,,
